appname,桌面应用
signin,点击头像登录
signout,登出
dark,深色
light,浅色
proxy,代理
color,主题颜色
help,帮助
language,语言
update,检查更新
feedback,反馈
about,关于
aboutinfo,这是一个简单的应用程序模板，旨在帮助您快速开始桌面应用程序的开发。
closetotray,关闭窗体时进入托盘
tray,托盘
submit,提交
cancel,取消
ok,确定
reset,重置
suggestion,请输入您的反馈意见或建议
logerror,错误日志
add,新增
edit,编辑
delete,删除
search,搜索
check,查看
keyword,请输入关键词
action,操作
success,成功
fail,失败
warning,警告
info,信息
confirm,确认
error,错误
home,主页
management,管理
datamanagement,数据管理
log,日志
setting,设置
nocontent,无内容
submitted,已提交
languagewillchange,语言将更改为{0}，请重新启动应用程序以使更改生效。
submitting,正在提交
login,登录
username,用户名
password,密码
loggingin,登录中
logininfo,登录您的账户
show,显示
hide,隐藏
exit,退出
function,功能
func1,功能1
func2,功能2
func3,功能3
loading,加载中
remember,记住我
browse,浏览
upadteavailable,有可用更新
updateinfo,新版本 v{0} 已发布，是否立即下载？
later,稍后
update,更新
updating,正在更新
noupdate,已是最新版本
updatedone,更新完成，立即更新？
unzip,正在解压
